"labels(n)","n.valid_until","n.country_codes","n.countries","n.node_id","n.sourceID","n.address","n.name","n.jurisdiction_description","n.service_provider","n.jurisdiction","n.closed_date","n.incorporation_date","n.ibcRUC","n.type","n.status","n.company_type","n.note"
"[""Intermediary""]","The Panama Papers  data is current through 2015","FRA","France","11008207","Panama Papers","LAZ COMMERCIAL ENTERPRISE AND COMPANY INC. PANAMA C/O MR. GERARD DE LA FORTELLE 201, BOULEVARD PEREIRE 75017 PARIS FRANCE","LAZ COMMERCIAL ENTERPRISE AND COMPANY INC. PANAMA","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","CHE","Switzerland","11008208","Panama Papers","","B&P BEERLI UND PARTNER AG (ZURICH CLIENT)","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ECU","Ecuador","11008209","Panama Papers","","PUENTE  &  ASOCIADOS","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ECU","Ecuador","11008210","Panama Papers","","ANDRÉS VALDIVIESO","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","","","11008211","Panama Papers","","(CYP)MENWIN BUSINESS CONSULTANT LTD.","","","","","","","","","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ZAF","South Africa","11008212","Panama Papers","FINLUCA INTERNATIONAL LIMITED 3B CHURCH STREET; FLORIDA; 1709; ROODEPORT JOHANNESBURG SOUTH AFRICA","FINLUCA INTERNATIONAL LIMITED","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","HKG","Hong Kong","11008213","Panama Papers","KENTRIC MANAGEMENT COMPANY LIMITED 1509; C.C. WU BUILDING 302-308 HENNESSY ROAD WANCHAI; HONG KONG","KENTRIC MANAGEMENT COMPANY LIMITED","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","DEU","Germany","11008214","Panama Papers","MR. IVAN RAJKOVIC C/O INEX GMBH HUMBOLDSTR. 2 D-21465 REINBEK GERMANY","RAJKOVIC, IVAN","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","NLD","Netherlands","11008215","Panama Papers","MR. FRIEDRICH ADOLF SPECHT NASSAUKADE 312 AMSTERDAM THE NETHERLANDS","SPECHT, FRIEDRICH ADOLF","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","HKG","Hong Kong","11008216","Panama Papers","MS. ANN TSE FLAT D; 5/F; ARTS MANSION 46-58 ARTHUR STREET YAUMATI; KOWLOON HOHG KONG","CHUANG, JACQUELINE","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","USA","United States","11008217","Panama Papers","WINSTON KENT ASSOCIATES INC. 253 KING RICHARD DRIVE MCMURRAY, PA 15317-2503 U.S.A","WINSTON KENT ASSOCIATES INC.","","","","","","","","UNRECOVERABLE ACCOUNTS","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","POL","Poland","11008218","Panama Papers","INTERHOLD  SCHROEGERA 82/113  01-828 WARSAW  POLAND *S.I.*","INTERHOLD BANAS","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","PAN","Panama","11008219","Panama Papers","SANIEB TRADING & INVESTMENTS LTD. C/O COMPANIA DE PROMOCIONES ACUARIO; S.A. P.O. BOX 0823-01021 PANAMA; REP. DE PANAMA","SANIEB TRADING & INVESTMENTS LTD.","","","","","","","","SUSPENDED","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","BEL","Belgium","11008224","Panama Papers","INDRIJA CORP. RUE D'AMBERLOUP 29D BOUILLON B-6681, LUXEMBOURG PROVINCE BELGIUM","INDRIJA CORP.","","","","","","","","ACTIVE","",""
"[""Intermediary""]","The Panama Papers  data is current through 2015","ARG;BHS","Argentina;Bahamas","11008225","Panama Papers","FANAPEL INVESTMENT CORP AV. SANTA FE 1821 7MO PISO CP 1123 CABA  ARGENTINA","FANAPEL INVESTMENT CORP","","","","","","","","ACTIVE","",""
